title,game_code,parsed_game_code,nsuid,region,release_date,cover_url
1-2-Switch（ワンツースイッチ）,HACAACCA,AACC,70010000000027,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_12switch.jpg
Minecraft: Nintendo Switch Edition,HACPAB3NA,AB3N,70010000000412,asia,2017-05-12,https://www.nintendo.co.jp/software/switch/img/HACPAB3NA.jpg
THUMPER リズム・バイオレンスゲーム,HACACGNA,ACGN,70010000000321,asia,2017-05-18,https://www.nintendo.co.jp/software/switch/img/HACACGNA.jpg
TumbleSeed,HACABYYA,ABYY,70010000000163,asia,2017-05-02,https://www.nintendo.co.jp/software/switch/img/HACABYYA.jpg
VOEZ,HACACD3A,ACD3,70010000000044,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_voez.jpg
Wonder Boy: The Dragon's Trap,HACABTCA,ABTC,70010000000207,asia,2017-04-18,https://www.nintendo.co.jp/software/switch/img/HACABTCA.jpg
アケアカNEOGEO ASO II 〜ラストガーディアン〜,HACACMYA,ACMY,70010000000221,asia,2017-04-06,https://www.nintendo.co.jp/software/switch/img/HACACMYA.jpg
アケアカNEOGEO NAM-1975,HACAB22A,AB22,70010000000066,asia,2017-03-09,https://www.nintendo.co.jp/software/switch/img/launch_panel_nam-1975.jpg
アケアカNEOGEO オーバートップ,HACAB2QA,AB2Q,70010000000281,asia,2017-04-27,https://www.nintendo.co.jp/software/switch/img/HACAB2QA.jpg
アケアカNEOGEO ギャラクシーファイト ユニバーサル・ウォーリアーズ,HACADSYA,ADSY,70010000000346,asia,2017-05-18,https://www.nintendo.co.jp/software/switch/img/HACADSYA.jpg
アケアカNEOGEO ザ・キング・オブ・ファイターズ '94,HACAB2ZA,AB2Z,70010000000067,asia,2017-03-16,https://www.nintendo.co.jp/software/switch/img/launch_panel_fighters94.jpg
アケアカNEOGEO ザ・キング・オブ・ファイターズ '98,HACAB2MA,AB2M,70010000000061,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_fighters.jpg
アケアカNEOGEO サムライスピリッツ 天草降臨,HACAB2RA,AB2R,70010000000085,asia,2017-04-13,https://www.nintendo.co.jp/software/switch/img/HACAB2RA.jpg
アケアカNEOGEO ショックトルーパーズ,HACAB2UA,AB2U,70010000000063,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_shock.jpg
アケアカNEOGEO ビッグトーナメントゴルフ,HACAC9YA,AC9Y,70010000000201,asia,2017-03-23,https://www.nintendo.co.jp/software/switch/img/launch_panel_bigtournament.jpg
アケアカNEOGEO ブレイジングスター,HACADBRA,ADBR,70010000000284,asia,2017-05-02,https://www.nintendo.co.jp/software/switch/img/HACADBRA.jpg
アケアカNEOGEO メタルスラッグ,HACACMTA,ACMT,70010000000213,asia,2017-03-30,https://www.nintendo.co.jp/software/switch/img/launch_panel_metalslug.jpg
アケアカNEOGEO メタルスラッグ3,HACAB2WA,AB2W,70010000000065,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_metal.jpg
アケアカNEOGEO ワールドヒーローズパーフェクト,HACAB2VA,AB2V,70010000000064,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_worldheros.jpg
アケアカNEOGEO わくわく7,HACAB2TA,AB2T,70010000000062,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_wakuwaku7.jpg
アケアカNEOGEO 餓狼 MARK OF THE WOLVES,HACPAB2PA,AB2P,70010000000224,asia,2017-05-11,https://www.nintendo.co.jp/software/switch/img/HACPAB2PA.jpg
アケアカNEOGEO　餓狼伝説 ～宿命の闘い～,HACACMZA,ACMZ,70010000000212,asia,2017-04-20,https://www.nintendo.co.jp/software/switch/img/HACACMZA.jpg
いけにえと雪のセツナ,HACBABJA,BABJ,70010000000078,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_ikenie.jpg
いっしょにチョキッと スニッパーズ,HACBAAWA,BAAW,70010000000028,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_snippers.jpg
オセロ,HACABEZA,ABEZ,70010000000125,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_othello.jpg
スーパーボンバーマン Ｒ,HACAAB8A,AAB8,70010000000043,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_bomberman.jpg
ゼルダの伝説　ブレス オブ ザ ワイルド,HACAAAAA,AAAA,70010000000026,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_zelda.jpg
そるだむ 開花宣言,HACAB5JA,AB5J,70010000000117,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_soldam.jpg
ドラゴンクエストヒーローズI・II for Nintendo Switch,HACBABKA,BABK,70010000000088,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_dq.jpg
バトルスポーツ めく～る,HACACYVA,ACYV,70010000000210,asia,2017-05-18,https://www.nintendo.co.jp/software/switch/img/HACACYVA.jpg
ぷよぷよ™テトリス®Ｓ,HACBAACA,BAAC,70010000000035,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_puyoteto.jpg
ブラスターマスター ゼロ,HACABETA,ABET,70010000000029,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_blaster.jpg
マリオカート8 デラックス,HACAABPA,AABP,70010000000186,asia,2017-04-28,https://www.nintendo.co.jp/software/switch/img/HACAABPA.jpg
みんなでワイワイ！スペランカー,HACBAAVA,BAAV,70010000000042,asia,2017-04-20,https://www.nintendo.co.jp/software/switch/img/HACBAAVA.jpg
メゾン・ド・魔王,HACADLJA,ADLJ,70010000000307,asia,2017-04-13,https://www.nintendo.co.jp/software/switch/img/HACADLJA.jpg
ルディミカル♪ 魔神少女音楽外伝,HACPADFHA,ADFH,70010000000487,asia,2017-05-11,https://www.nintendo.co.jp/software/switch/img/HACPADFHA.jpg
三國志13 with パワーアップキット,HACABVKA,ABVK,70010000000095,asia,2017-03-30,https://www.nintendo.co.jp/software/switch/img/launch_panel_sangokushi13.jpg
信長の野望・創造 with パワーアップキット,HACABWUA,ABWU,70010000000094,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_nobunaga.jpg
新大開拓時代 ～街をつくろう～,HACABEWA,ABEW,70010000000034,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_daikaitaku.jpg
神巫女 -カミコ-,HACAC5FA,AC5F,70010000000313,asia,2017-04-13,https://www.nintendo.co.jp/software/switch/img/HACAC5FA.jpg
空飛ぶブンブンバーン,HACABFEA,ABFE,70010000000122,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_soratobu.jpg
銀星将棋 強天怒闘風雷神,HACACXLA,ACXL,70010000000264,asia,2017-04-27,https://www.nintendo.co.jp/software/switch/img/HACACXLA.jpg
魔界戦記ディスガイア５,HACAACAA,AACA,70010000000148,asia,2017-03-03,https://www.nintendo.co.jp/software/switch/img/launch_panel_disgaea.jpg
